scope_name,dps
read_scope,"[2, 1002, 1003, 1004, 1005, 1006, 1007, 1008, 1009, 1010, 1011, 1012, 1013, 1015, 1016, 1017, 1018, 1019, 1020, 1021, 1022, 1023, 1024, 1025, 1027, 1028, 1029, 1030, 1032, 1033, 1034, 1035, 1036, 1037, 1038, 1039, 1041, 1045, 1046, 1051, 1052, 1053, 1054, 1055, 1056, 1058, 1059, 1061, 1063, 1064, 1065, 1066, 1067, 1068, 1069, 1070, 1072, 1073, 1075, 1076, 1084, 1094, 1095, 1096, 1097, 1098, 1099, 1100, 1101, 1102, 1103, 1104, 1105, 1106, 1107, 1108, 1109, 1110, 1111, 1112, 1113, 1114, 1116, 1117, 1118, 1119, 1121, 1124, 1126, 1127, 1128, 1129, 1130, 1131, 1132, 1133, 1134, 1145, 1147, 1148, 1149, 1150, 1151, 1152, 1154, 1155, 1156, 1157, 1158, 1159, 1160, 1161, 1162, 1163, 1164, 1165, 1166, 1168, 1169, 1170, 1171, 1172, 1173, 1174, 1175, 1176, 1177, 1178, 1179, 1180, 1182, 1183, 1184, 1185, 1186, 1187, 1188, 1189, 1199, 1200, 1201, 1202, 1203, 1204, 1205, 1190, 1191, 1196, 1197, 1198, 1207, 1208, 1209, 1210, 1212, 1213, 1216, 1221, 1225, 1230, 1231, 1233, 1234, 1239, 1240, 1241, 1242, 1243, 1244, 1245, 1246, 1247, 1248, 1249, 1250, 1251, 1253, 1254, 1255, 1256, 1257, 1258, 1259, 1260, 1261, 1262, 1263, 1264, 1265, 1266, 1268, 1269, 1273, 1274, 1275, 1276, 1277, 1278, 1279, 1280, 1281, 1285, 1286, 1287, 1288, 1289, 1290, 1291, 1292, 1295, 1296, 1297, 1298, 1299, 1300, 1301, 1302, 1303, 1304, 1305, 1306, 1307, 1308, 1309, 1310, 1311, 1312, 1313, 1314, 1315, 1316, 1317, 1318, 1319, 1320, 1321, 1322, 1323, 1324, 1325, 1328, 1331, 1332, 1333, 1334, 1335, 1336, 1338, 1339, 1341, 1342, 1343, 1344, 1345, 1346, 1347, 1348, 1349, 1351, 1352, 1353, 1354, 1355, 1356, 1357, 1359, 1360, 1361, 1362, 1363]"
read_write_scope,"[1, 3, 4, 1001, 1031, 1060, 1062, 1071, 1074, 1077, 1078, 1079, 1080, 1081, 1082, 1083, 1085, 1086, 1087, 1088, 1115, 1120, 1122, 1123, 1125, 1135, 1136, 1137, 1138, 1139, 1140, 1141, 1142, 1143, 1144, 1146, 1153, 1181, 1206, 1211, 1214, 1215, 1217, 1218, 1219, 1220, 1222, 1223, 1224, 1226, 1227, 1228, 1229, 1232, 1235, 1236, 1237, 1238, 1270, 1271, 1272, 1282, 1283, 1284, 1293, 1294, 1329, 1330, 1337, 1340]"
read_write_dm_scope,"[1014, 1040, 1042, 1043, 1044, 1047, 1048, 1049, 1050, 1057, 1089, 1090, 1091, 1092, 1093]"
email_scope,"[1267]"
tweet.read,"[1102, 1124, 1148, 1149, 1150, 1151, 1152, 1163, 1164, 1165, 1166, 1168, 1169, 1170, 1171, 1172, 1173, 1174, 1175, 1176, 1177, 1178, 1179, 1180, 1196, 1305, 1306, 1307, 1308, 1309, 1310, 1311, 1312, 1313, 1314, 1315]"
tweet.moderate.write,"[1079, 1080, 1081, 1085, 1125, 1293, 1294]"
users.read,"[1126, 1127, 1128, 1129, 1130, 1131, 1132, 1133, 1134, 1154, 1155, 1156, 1157, 1158, 1159, 1160, 1161, 1162, 1197, 1198, 1199, 1200, 1205, 1207, 1208, 1209, 1212, 1213, 1233, 1296, 1297, 1298, 1299, 1300, 1316, 1317, 1318, 1319, 1338, 1342, 1343, 1348, 1349]"
email.lite.login,"[1010, 1021, 1022, 1032, 1038, 1046, 1052, 1053, 1054, 1055, 1056, 1057, 1058, 1085, 1094, 1097, 1098, 1099, 1100, 1102, 1103, 1104, 1105, 1106, 1107, 1117, 1118, 1122, 1124, 1128, 1130, 1131, 1132, 1133, 1134, 1148, 1149, 1151, 1152, 1154, 1156, 1157, 1159, 1160, 1161, 1162, 1163, 1164, 1165, 1166, 1168, 1169, 1170, 1171, 1172, 1175, 1176, 1177, 1179, 1180, 1182, 1183, 1184, 1185, 1186, 1187, 1196, 1197, 1199, 1200, 1201, 1202, 1203, 1204, 1205, 1207, 1208, 1209, 1210, 1212, 1225, 1226, 1227, 1230, 1233, 1239, 1240, 1241, 1244, 1245, 1246, 1247, 1248, 1249, 1250, 1251, 1254, 1256, 1258, 1261, 1265, 1266, 1277, 1279, 1281, 1289, 1295, 1296, 1297, 1298, 1299, 1300, 1301, 1302, 1303, 1304, 1305, 1306, 1307, 1308, 1309, 1310, 1311, 1312, 1313, 1314, 1315, 1316, 1317, 1318, 1319, 1320, 1321, 1322, 1323, 1324, 1325, 1328, 1330, 1332, 1333, 1334, 1336, 1339, 1340, 1371]"
space.read,"[1275, 1276]"
steam.internal.post.write,"[4]"
follows.read,"[1130, 1131, 1132, 1133, 1319]"
follows.write,"[1135, 1136, 1137, 1138, 1139, 1142, 1143, 1270, 1271, 1272, 1329, 1330, 1337]"
interactive_email.tweet.read,"[1102, 1124, 1148, 1149, 1150, 1151, 1152, 1163, 1164, 1165, 1166, 1168, 1169, 1170, 1171, 1172, 1173, 1174, 1175, 1176, 1177, 1178, 1179, 1180, 1196, 1305, 1306, 1307, 1308, 1309, 1310, 1311, 1312, 1313, 1314, 1315]"
bookmark.read,"[]"
